seq_number,date,time,wood_name,transect_number,transect_point,gps_coordinates,survey_length/s,isopods,phthiraptera,coleoptera,diptera,lepidoptera,hymenoptera,araneae,hemiptera,Ixodida,achatinoidea,siphonaptera,raphidioptera,lithobiomorpha,mecoptera,neuroptera,orthoptera,haplotaxids,dermaptera,
1,10102023,1340,gunnes_thicket,1,1,SU 94140 68949,130,0,2,0,1,1,0,0,1,0,0,3,0,0,0,0,0,0,0,
2,10102023,1348,gunnes_thicket,1,2,SU 94164 68957,160,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
3,10102023,1355,gunnes_thicket,1,3,SU 94152 68987,600,6,0,5,1,2,1,3,2,0,1,3,0,1,1,0,0,0,0,
4,10102023,1414,gunnes_thicket,2,1,SU 94166 68936,150,0,0,0,5,0,0,0,0,0,0,3,0,0,0,1,0,0,0,
5,10102023,1417,gunnes_thicket,2,2,SU 94181 68951,174,0,0,1,0,0,0,2,2,1,0,5,0,0,0,0,0,0,0,
6,10102023,1422,gunnes_thicket,2,3,SU 94186 68966,192,0,0,1,1,1,1,1,3,0,0,0,0,1,0,1,0,0,0,
7,10102023,1432,gunnes_thicket,3,1,SU 94136 68944,112,0,0,0,0,0,0,0,1,0,0,2,0,0,0,8,0,0,0,
8,10102023,1438,gunnes_thicket,3,2,SU 94135 68960,171,1,0,3,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,
9,10102023,1443,gunnes_thicket,3,3,SU 94141 68972,253,2,0,1,1,3,0,1,1,0,0,1,0,0,0,0,0,0,0,
10,10102023,1515,mertens_acres,4,1,SU 94574 69066,43,0,0,0,2,0,0,0,3,0,0,2,0,0,0,0,0,0,0,
11,10102023,1519,mertens_acres,4,2,SU 94593 69064,204,8,0,5,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,
12,10102023,1528,mertens_acres,4,3,SU 94613 69057,203,1,0,0,0,0,0,3,4,3,1,0,0,0,2,0,0,0,0,
13,10102023,1542,mertens_acres,5,1,SU 94573 69031,167,2,0,0,0,0,0,0,13,0,0,1,0,0,3,0,1,0,0,
14,10102023,1550,mertens_acres,5,2,SU 94582 69031,156,1,0,2,0,0,1,2,1,1,1,2,0,0,0,0,0,1,0,
15,10102023,1600,mertens_acres,5,3,SU 94592 69025,342,10,0,0,1,3,2,1,5,6,1,3,0,1,1,0,0,0,0,
16,10102023,1625,elms_slope,6,1,SU 94417 68571,44,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,
17,10102023,1628,elms_slope,6,2,SU 94416 68559,271,1,0,0,2,0,4,0,1,1,0,3,0,0,0,0,0,6,0,
18,10102023,1635,elms_slope,6,3,SU 94410 68541,193,5,0,0,0,0,3,2,0,0,0,4,0,0,0,0,0,3,1,
