species,Grassland,Ecotone,Woodland
isopods,1.999999998,14,24
phthiraptera,1.999999998,0,0
coleoptera,0,12,7.000000002
diptera,7.999999998,1.999999998,4.000000002
lepidoptera,1.999999998,3,9
hymenoptera,0,6,7.000000002
araneae,0,6,11
hemiptera,20,6,15
Ixodida,0,3,9
achatinoidea,0,1.000000002,3
siphonaptera,12,14,10
raphidioptera,0,1.000000002,0
lithobiomorpha,0,0,3
mecoptera,3,0,4.000000002
neuroptera,9,0,1.000000002
orthoptera,1.000000002,0,0
haplotaxids,1.000000002,7.000000002,3
dermaptera,0,0,1.000000002
